File Name,Duration,ttc,ttc2
0qfbmt4G8Rw_004575,8.2,2.2,4.5
0qfbmt4G8Rw_004758,8.9,4.1,6.0
0z7J7rOpTic_000072,11.8,3.3,10.4
0z7J7rOpTic_000191,6.9,3.7,5.0
0z7J7rOpTic_000261,17.9,3.4,6.3
0z7J7rOpTic_000752,10.4,4.0,7.3
0z7J7rOpTic_001073,21.2,2.8,6.8
0z7J7rOpTic_001286,9.9,3.6,8.2
0z7J7rOpTic_001576,9.9,3.3,6.4
0z7J7rOpTic_002066,9.9,5.1,6.8
0z7J7rOpTic_002166,9.0,3.2,5.5
0z7J7rOpTic_005931,7.9,3.3,5.6
0z7J7rOpTic_006131,14.0,1.4,11.1
0z7J7rOpTic_006272,17.9,6.4,15.5
1u69z-wsDIc_000181,11.2,5.8,8.3
1u69z-wsDIc_000294,4.5,3.7,4.5
1u69z-wsDIc_000394,8.9,3.8,5.9
1u69z-wsDIc_000484,8.0,6.1,7.8
1u69z-wsDIc_001022,12.8,5.3,10.0
1u69z-wsDIc_001151,9.9,3.4,8.6
1u69z-wsDIc_001251,9.6,3.3,6.9
1u69z-wsDIc_001348,12.6,3.8,8.4
1u69z-wsDIc_001475,9.9,3.2,6.3
1u69z-wsDIc_001575,10.9,3.9,8.2
1u69z-wsDIc_001685,9.9,4.1,5.5
1u69z-wsDIc_002449,12.9,5.4,10.2
1u69z-wsDIc_002579,9.9,4.1,8.4
1u69z-wsDIc_002769,9.9,4.7,8.5
1u69z-wsDIc_003994,9.9,3.8,7.6
1u69z-wsDIc_004094,10.0,4.8,7.3
1u69z-wsDIc_004195,8.9,3.2,5.8
1u69z-wsDIc_004789,18.0,3.1,15.1
1u69z-wsDIc_005779,14.2,10.1,12.3
2SAby_5t94M_000274,11.9,3.2,8.9
2SAby_5t94M_000562,11.2,3.1,6.9
2SAby_5t94M_000753,6.5,2.0,4.5
2SAby_5t94M_000819,8.5,1.8,5.3
2SAby_5t94M_000905,9.5,4.2,6.3
2SAby_5t94M_001001,12.0,3.2,7.9
2SAby_5t94M_001221,8.0,1.3,5.2
2SAby_5t94M_001388,11.8,9.3,11.7
2SAby_5t94M_001507,15.9,1.3,7.5
2SAby_5t94M_002238,9.0,4.0,6.4
2SAby_5t94M_002329,11.6,5.1,9.6
2SAby_5t94M_002446,15.8,1.2,3.3
2SAby_5t94M_002722,7.8,1.7,5.5
2SAby_5t94M_002862,10.8,2.1,8.2
2SAby_5t94M_002971,8.2,3.5,5.2
2SAby_5t94M_003054,6.8,4.6,6.5
2SAby_5t94M_003123,7.9,3.2,7.6
2TmFM9p1KF8_000052,8.7,5.5,7.2
2TmFM9p1KF8_001257,11.6,4.0,8.7
2TmFM9p1KF8_001756,6.5,0.6,3.8
2TmFM9p1KF8_001932,8.7,1.6,4.2
2TmFM9p1KF8_002300,8.0,3.4,6.4
2TmFM9p1KF8_003322,8.6,4.0,6.9
2TmFM9p1KF8_003505,11.3,3.7,9.1
2TmFM9p1KF8_003888,6.5,3.2,5.1
2TmFM9p1KF8_003954,11.1,2.6,7.4
2TmFM9p1KF8_004755,8.9,3.2,4.1
2TmFM9p1KF8_005030,12.8,4.4,10.3
2TmFM9p1KF8_005238,8.6,3.6,6.2
2TmFM9p1KF8_005473,8.8,3.7,5.5
2TmFM9p1KF8_005562,9.4,2.4,5.1
2TmFM9p1KF8_005657,8.0,1.5,5.8
2TmFM9p1KF8_005814,5.9,2.6,4.5
2TmFM9p1KF8_005874,10.1,3.0,4.9
3Sqeb-l1RPA_000361,15.9,10.6,14.4
3Sqeb-l1RPA_001183,11.1,4.0,11.1
3Sqeb-l1RPA_001295,11.5,4.7,10.9
3Sqeb-l1RPA_002283,15.5,5.3,8.4
3Sqeb-l1RPA_002618,11.1,4.1,7.4
3Sqeb-l1RPA_002730,7.8,2.1,4.7
3Sqeb-l1RPA_002900,10.6,3.6,6.6
3Sqeb-l1RPA_003561,10.4,1.5,4.5
3Sqeb-l1RPA_003666,9.4,1.3,4.1
3Sqeb-l1RPA_003874,10.4,3.9,6.5
3Sqeb-l1RPA_003979,11.4,5.4,9.5
3Sqeb-l1RPA_004094,9.0,1.8,5.2
3Sqeb-l1RPA_004185,11.1,3.7,7.0
3Sqeb-l1RPA_004297,10.8,1.3,6.0
3Sqeb-l1RPA_004406,9.8,2.6,7.1
3Sqeb-l1RPA_004505,10.0,2.9,4.6
3Sqeb-l1RPA_004606,10.9,4.0,8.2
3Sqeb-l1RPA_004716,10.2,3.2,7.4
3Sqeb-l1RPA_005028,9.4,4.4,7.2
3Sqeb-l1RPA_005123,9.6,2.9,5.7
3Sqeb-l1RPA_005220,5.0,2.0,4.9
3Sqeb-l1RPA_005471,10.8,3.5,5.2
3Sqeb-l1RPA_005580,9.6,2.2,8.6
3Sqeb-l1RPA_005677,7.2,2.3,5.0
3sGShQb_HwU_000072,6.4,4.9,6.4
3sGShQb_HwU_000264,8.9,5.2,6.2
3sGShQb_HwU_000454,12.0,4.4,6.4
3sGShQb_HwU_000665,13.9,2.6,10.1
3sGShQb_HwU_000805,9.9,4.2,8.5
3sGShQb_HwU_000905,7.9,4.4,6.8
3sGShQb_HwU_000985,10.0,5.4,8.7
3sGShQb_HwU_001086,10.9,3.5,10.9
3sGShQb_HwU_001276,10.9,6.0,7.2
3sGShQb_HwU_001706,11.9,5.1,11.9
3sGShQb_HwU_002137,7.4,4.6,7.4
3sGShQb_HwU_002370,14.0,2.8,12.7
3sGShQb_HwU_002511,10.4,1.3,4.9
3sGShQb_HwU_002616,7.9,1.9,7.9
3sGShQb_HwU_002696,10.9,4.0,8.1
3sGShQb_HwU_003518,16.0,1.8,5.8
3sGShQb_HwU_003679,13.9,4.4,12.5
3sGShQb_HwU_003819,9.9,3.7,6.9
3sGShQb_HwU_004019,9.9,4.3,7.5
3sGShQb_HwU_004119,13.9,9.4,12.4
3sGShQb_HwU_004259,8.9,4.5,6.6
3sGShQb_HwU_004499,9.9,2.8,8.8
3sGShQb_HwU_004599,11.9,1.9,10.6
3sGShQb_HwU_004719,12.9,5.3,11.3
3sGShQb_HwU_004977,8.9,3.6,5.8
3sGShQb_HwU_005157,12.7,4.9,9.6
3sGShQb_HwU_005692,6.1,1.2,2.9
3sGShQb_HwU_005754,11.6,3.5,6.5
3tEZvtQZ18Q_000073,11.7,4.4,9.9
3tEZvtQZ18Q_000371,6.9,0.0,4.6
3tEZvtQZ18Q_000441,8.9,2.1,7.1
3tEZvtQZ18Q_000531,15.9,4.7,12.2
3tEZvtQZ18Q_000791,10.9,5.4,8.2
3tEZvtQZ18Q_000981,8.9,2.6,7.7
3tEZvtQZ18Q_001262,10.1,4.8,7.0
3tEZvtQZ18Q_001444,10.2,4.6,8.7
3tEZvtQZ18Q_001907,7.9,2.4,5.0
3tEZvtQZ18Q_001987,13.9,2.1,12.5
3tEZvtQZ18Q_002879,12.8,6.7,9.4
3tEZvtQZ18Q_003008,9.6,2.9,6.4
3tEZvtQZ18Q_003105,15.9,10.9,14.0
3tEZvtQZ18Q_003265,15.4,13.5,15.3
3tEZvtQZ18Q_003485,9.9,4.8,8.5
3tEZvtQZ18Q_003585,7.9,1.9,6.3
3tEZvtQZ18Q_003774,12.0,7.1,12.0
3tEZvtQZ18Q_004250,11.9,2.8,8.4
3tEZvtQZ18Q_004370,9.9,4.7,8.0
3tEZvtQZ18Q_004640,7.9,3.7,5.0
3tEZvtQZ18Q_004970,10.9,3.1,9.3
3tEZvtQZ18Q_005080,9.9,3.6,8.7
3tEZvtQZ18Q_005270,8.9,3.3,7.4
3tEZvtQZ18Q_005360,10.9,6.3,8.0
3tEZvtQZ18Q_005470,6.5,3.9,6.5
3tEZvtQZ18Q_005766,11.7,3.1,8.8
3u_CIo9IaWo_000221,5.5,4.3,5.5
3u_CIo9IaWo_000332,10.6,4.4,6.4
3u_CIo9IaWo_000439,6.0,1.7,4.0
3u_CIo9IaWo_000682,9.9,3.9,7.4
3u_CIo9IaWo_000874,9.5,2.6,5.1
3u_CIo9IaWo_000970,10.9,5.1,8.1
3u_CIo9IaWo_001080,12.0,5.5,8.9
3u_CIo9IaWo_001341,12.2,3.7,12.2
3u_CIo9IaWo_001464,26.4,23.0,26.0
3u_CIo9IaWo_001784,10.4,4.6,7.9
3u_CIo9IaWo_001889,24.6,5.2,24.6
3u_CIo9IaWo_002136,11.2,4.5,8.6
3u_CIo9IaWo_002458,12.9,1.6,7.9
3u_CIo9IaWo_002692,4.6,4.1,4.6
3u_CIo9IaWo_002893,14.9,4.0,5.2
3u_CIo9IaWo_003043,12.6,5.2,10.5
3u_CIo9IaWo_003170,10.5,3.5,9.9
3u_CIo9IaWo_003276,12.3,4.5,10.1
3u_CIo9IaWo_003400,14.7,3.9,13.5
3u_CIo9IaWo_004218,28.6,4.5,12.4
3u_CIo9IaWo_004717,12.0,4.9,10.4
3u_CIo9IaWo_005125,10.9,5.3,8.7
4K_6s1n6BpU_000428,10.3,3.7,4.4
4K_6s1n6BpU_000654,14.0,6.8,11.3
4K_6s1n6BpU_001144,6.8,3.1,4.5
4K_6s1n6BpU_001442,7.8,2.2,4.5
4K_6s1n6BpU_001685,11.7,2.4,9.3
4K_6s1n6BpU_001812,10.1,4.5,10.0
4K_6s1n6BpU_001924,6.3,2.8,4.1
4K_6s1n6BpU_002218,9.5,1.0,4.3
4K_6s1n6BpU_002324,9.7,1.9,8.0
4K_6s1n6BpU_003177,5.9,1.4,4.2
4K_6s1n6BpU_003459,7.9,3.4,4.8
4K_6s1n6BpU_004012,11.2,6.3,9.3
4K_6s1n6BpU_004134,6.9,2.0,4.8
4K_6s1n6BpU_004936,10.2,2.7,4.1
4K_6s1n6BpU_005048,12.9,4.3,6.1
4K_6s1n6BpU_005467,8.4,2.3,4.8
4K_6s1n6BpU_005561,8.5,5.2,5.7
4K_6s1n6BpU_005836,6.5,2.2,5.0
4K_6s1n6BpU_005911,7.8,2.7,7.5
4K_6s1n6BpU_006000,6.3,2.3,5.1
4K_6s1n6BpU_006074,7.0,2.4,5.3
4K_6s1n6BpU_006306,7.3,1.7,5.2
4K_6s1n6BpU_006390,6.3,0.9,3.9
4K_6s1n6BpU_006586,8.6,2.6,8.6
4K_6s1n6BpU_006682,6.8,1.4,5.9
4K_6s1n6BpU_006760,11.0,4.1,11.0
4OGV0AbV91U_000264,8.4,3.1,5.3
4OGV0AbV91U_000434,5.5,4.7,5.5
4OGV0AbV91U_000521,6.2,2.3,3.4
4OGV0AbV91U_000777,10.3,4.5,7.6
4OGV0AbV91U_001481,10.2,2.7,8.8
4OGV0AbV91U_001584,7.1,3.8,7.1
4OGV0AbV91U_001820,10.3,3.4,6.6
4OGV0AbV91U_001924,6.3,3.8,6.3
4OGV0AbV91U_002109,7.8,1.7,6.5
4OGV0AbV91U_002278,12.8,7.2,11.0
4OGV0AbV91U_002491,7.8,3.1,6.8
4OGV0AbV91U_002570,7.6,2.6,3.7
4OGV0AbV91U_002729,7.6,2.7,6.1
4OGV0AbV91U_002914,7.3,5.0,6.1
4OGV0AbV91U_003123,11.6,3.4,7.6
4OGV0AbV91U_003240,6.2,1.6,4.3
4OGV0AbV91U_003445,8.1,3.2,6.4
4OGV0AbV91U_003612,8.7,2.3,5.7
4OGV0AbV91U_003797,8.5,3.0,5.9
4OGV0AbV91U_003954,7.5,2.5,5.9
4OGV0AbV91U_004204,7.4,1.9,5.5
4wKjxDXnmYs_000117,10.1,3.6,6.7
4wKjxDXnmYs_000219,9.1,2.7,5.8
4wKjxDXnmYs_000547,10.3,5.2,7.1
4wKjxDXnmYs_000720,9.8,0.9,9.7
4wKjxDXnmYs_000908,7.7,2.7,4.4
4wKjxDXnmYs_001113,8.2,2.0,4.9
4wKjxDXnmYs_001196,5.7,3.4,5.7
4wKjxDXnmYs_001351,6.9,2.5,4.7
4wKjxDXnmYs_001421,6.9,2.1,5.4
4wKjxDXnmYs_001491,8.1,4.6,7.8
4wKjxDXnmYs_001752,9.1,1.7,6.9
4wKjxDXnmYs_001844,7.7,3.0,4.6
4wKjxDXnmYs_001922,7.1,2.4,4.5
4wKjxDXnmYs_001994,6.0,1.9,3.3
4wKjxDXnmYs_002596,12.1,4.7,11.7
4wKjxDXnmYs_002718,8.5,2.4,8.0
4wKjxDXnmYs_003089,8.1,3.8,6.7
4wKjxDXnmYs_003647,8.4,3.3,7.1
4wKjxDXnmYs_003732,6.5,2.7,5.4
4wKjxDXnmYs_004603,4.9,0.9,2.9
4wKjxDXnmYs_004807,9.4,3.5,7.7
4wKjxDXnmYs_004902,5.9,1.4,5.9
4wKjxDXnmYs_004962,6.7,2.1,6.6
4wKjxDXnmYs_005098,6.2,2.8,5.5
4wKjxDXnmYs_005286,9.6,2.3,8.5
4wKjxDXnmYs_005454,7.1,1.2,7.0
4wKjxDXnmYs_005526,6.8,2.4,3.6
4wKjxDXnmYs_005664,15.9,3.6,13.4
4wKjxDXnmYs_005824,5.8,0.6,4.1
5vKPYV5w6pw_000295,10.9,4.5,6.5
5vKPYV5w6pw_000405,11.2,6.4,7.5
5vKPYV5w6pw_000518,10.4,5.9,7.7
5vKPYV5w6pw_000773,10.0,4.1,10.0
5vKPYV5w6pw_000934,14.9,7.1,12.6
5vKPYV5w6pw_001084,12.8,4.5,9.6
5vKPYV5w6pw_001345,11.9,2.7,10.6
5vKPYV5w6pw_001999,7.7,4.7,7.7
5vKPYV5w6pw_002077,12.8,2.8,11.5
5vKPYV5w6pw_002475,19.1,3.8,6.0
5vKPYV5w6pw_002807,11.0,4.7,8.3
5vKPYV5w6pw_003028,4.2,3.2,4.2
5vKPYV5w6pw_003098,7.4,3.0,5.5
5vKPYV5w6pw_003173,7.9,3.9,6.3
5vKPYV5w6pw_003253,8.9,2.3,7.3
5vKPYV5w6pw_003454,18.9,1.3,11.3
5vKPYV5w6pw_003644,12.2,3.5,7.4
5vKPYV5w6pw_003767,5.3,4.1,5.3
5vKPYV5w6pw_004224,9.9,4.2,7.2
5vKPYV5w6pw_004324,8.9,4.9,6.5
5vKPYV5w6pw_004414,10.0,5.2,7.8
5vKPYV5w6pw_005653,11.0,3.8,5.4
6E2N9ld0eHg_000072,10.7,2.3,4.8
6E2N9ld0eHg_000290,9.9,5.2,8.4
6E2N9ld0eHg_000390,11.9,3.9,8.5
6E2N9ld0eHg_000751,12.0,4.8,7.4
6E2N9ld0eHg_000872,9.9,5.2,7.9
6E2N9ld0eHg_000972,11.0,5.0,8.2
6E2N9ld0eHg_001083,8.9,3.5,5.1
6E2N9ld0eHg_001373,5.5,4.2,5.5
6E2N9ld0eHg_001473,9.9,2.7,9.9
6E2N9ld0eHg_001573,9.9,4.9,6.3
6E2N9ld0eHg_001673,13.9,6.6,9.2
6E2N9ld0eHg_002827,7.0,3.1,4.2
6E2N9ld0eHg_003618,8.9,2.7,5.6
6E2N9ld0eHg_003898,6.0,4.8,6.0
6E2N9ld0eHg_004038,14.0,5.8,13.9
6E2N9ld0eHg_004289,10.9,2.3,8.1
6E2N9ld0eHg_004399,10.9,1.6,10.3
6E2N9ld0eHg_004509,7.9,3.7,5.8
6E2N9ld0eHg_004809,13.9,3.2,5.8
6E2N9ld0eHg_004949,8.9,4.6,8.4
6E2N9ld0eHg_005577,13.9,6.7,11.9
6I7Dz0qF4NA_000982,12.9,6.2,11.3
7uTMZ5-aWKA_000590,16.9,7.2,13.8
7uTMZ5-aWKA_000760,9.9,4.9,8.3
7uTMZ5-aWKA_000860,10.9,5.8,8.7
7uTMZ5-aWKA_000970,10.9,4.2,9.5
7uTMZ5-aWKA_001295,10.4,5.1,8.3
7uTMZ5-aWKA_001400,10.4,1.1,7.6
7uTMZ5-aWKA_001605,8.9,3.5,6.6
7uTMZ5-aWKA_001828,14.6,4.1,12.5
7uTMZ5-aWKA_002267,17.3,0.6,13.1
7uTMZ5-aWKA_003180,8.2,4.6,6.4
7uTMZ5-aWKA_003263,27.4,4.3,7.3
7uTMZ5-aWKA_003538,23.9,5.7,21.6
7uTMZ5-aWKA_004077,10.9,4.3,10.0
7uTMZ5-aWKA_004187,10.1,5.0,8.1
7uTMZ5-aWKA_004289,8.9,4.3,6.0
7uTMZ5-aWKA_004379,9.0,2.9,5.7
7uTMZ5-aWKA_004470,9.0,3.0,5.9
7uTMZ5-aWKA_004561,16.0,3.8,12.2
7uTMZ5-aWKA_004722,11.0,3.2,6.8
88LcRU7uEFE_000200,16.9,4.3,14.1
88LcRU7uEFE_000370,14.0,3.4,9.2
88LcRU7uEFE_000612,11.9,5.0,11.9
88LcRU7uEFE_000732,9.9,3.8,9.4
88LcRU7uEFE_000832,7.4,2.3,4.1
88LcRU7uEFE_000907,13.9,2.4,6.3
88LcRU7uEFE_001047,8.9,4.3,7.1
88LcRU7uEFE_001238,10.9,4.3,7.9
88LcRU7uEFE_001348,4.0,3.5,4.0
88LcRU7uEFE_001701,9.9,3.8,9.2
88LcRU7uEFE_001801,11.1,4.6,9.2
88LcRU7uEFE_001913,11.9,4.2,7.8
88LcRU7uEFE_002033,14.1,4.9,11.9
88LcRU7uEFE_002175,9.9,3.4,5.7
88LcRU7uEFE_002425,9.9,3.7,7.4
88LcRU7uEFE_002635,13.9,2.5,5.1
88LcRU7uEFE_002775,10.6,0.9,7.5
88LcRU7uEFE_002971,8.9,3.9,8.9
88LcRU7uEFE_003061,12.8,1.5,12.7
88LcRU7uEFE_003314,11.9,4.8,10.7
88LcRU7uEFE_003434,9.9,5.0,7.8
88LcRU7uEFE_003534,4.0,2.8,4.0
88LcRU7uEFE_004160,10.0,5.4,8.7
88LcRU7uEFE_004484,9.9,4.5,6.3
88LcRU7uEFE_004584,7.9,0.5,6.4
88LcRU7uEFE_004664,22.7,1.5,5.2
88LcRU7uEFE_004892,17.0,3.4,8.5
88LcRU7uEFE_005162,10.4,4.3,10.2
88LcRU7uEFE_005267,6.9,2.6,5.8
88LcRU7uEFE_005337,17.8,3.5,8.5
88LcRU7uEFE_005516,6.5,3.0,4.5
88LcRU7uEFE_005582,8.5,4.2,6.3
88LcRU7uEFE_005668,11.6,5.7,9.7
8dI7OolIEXY_000051,15.2,9.9,12.5
8dI7OolIEXY_000419,13.3,6.3,7.4
8dI7OolIEXY_000553,7.0,4.4,7.0
8dI7OolIEXY_000795,8.4,1.9,4.4
8dI7OolIEXY_001208,7.8,4.8,7.6
8dI7OolIEXY_001287,8.3,4.2,4.9
8dI7OolIEXY_001461,7.3,3.2,4.8
8dI7OolIEXY_001612,9.9,2.5,5.4
8dI7OolIEXY_001712,12.0,2.5,8.1
8dI7OolIEXY_001929,7.8,2.5,3.7
8dI7OolIEXY_002008,15.9,3.2,14.5
8dI7OolIEXY_002376,7.7,3.5,6.1
8dI7OolIEXY_002454,11.5,2.6,7.0
8dI7OolIEXY_002655,7.3,2.7,4.5
8dI7OolIEXY_002729,9.5,3.2,6.7
8dI7OolIEXY_002915,6.9,5.2,6.5
8dI7OolIEXY_002985,9.0,0.4,3.0
8dI7OolIEXY_003076,9.9,3.6,8.6
8dI7OolIEXY_003385,10.2,4.9,10.2
8dI7OolIEXY_003659,8.7,3.4,7.4
8dI7OolIEXY_003747,9.9,4.4,8.8
8dI7OolIEXY_003985,10.5,3.2,4.4
8dI7OolIEXY_004224,7.6,2.9,6.1
8dI7OolIEXY_004373,9.2,3.5,7.1
8dI7OolIEXY_004645,8.8,3.0,7.1
8dI7OolIEXY_004734,8.3,3.2,5.0
8dI7OolIEXY_004927,8.5,3.6,6.7
8dI7OolIEXY_005531,7.0,2.5,3.8
8dI7OolIEXY_005602,7.8,3.0,5.0
8dI7OolIEXY_005841,9.1,3.2,9.1
8dI7OolIEXY_005933,6.7,0.7,4.6
8dI7OolIEXY_006081,5.9,0.2,3.4
8dI7OolIEXY_006220,6.7,2.6,3.9
90gyBengKDs_000212,15.9,9.5,11.5
90gyBengKDs_000676,7.5,3.1,5.8
90gyBengKDs_000840,10.4,5.9,8.5
90gyBengKDs_001327,7.9,3.6,6.1
90gyBengKDs_001407,8.8,3.5,5.5
90gyBengKDs_001613,8.2,3.1,5.4
90gyBengKDs_001952,13.5,3.1,5.8
90gyBengKDs_002534,8.7,3.9,7.2
90gyBengKDs_003139,8.5,3.5,5.2
90gyBengKDs_003225,4.9,2.1,4.0
90gyBengKDs_003275,9.9,3.4,5.1
90gyBengKDs_003762,9.2,2.5,5.9
90gyBengKDs_004312,8.1,3.2,6.9
90gyBengKDs_004600,5.0,1.6,5.0
9Q0FCoNxL8I_000221,12.6,1.4,7.6
9Q0FCoNxL8I_000348,9.9,3.2,9.9
9Q0FCoNxL8I_000448,8.0,3.3,5.0
9Q0FCoNxL8I_000786,14.0,6.7,9.4
9Q0FCoNxL8I_000927,16.3,3.6,7.1
9Q0FCoNxL8I_001291,14.9,3.8,7.1
9Q0FCoNxL8I_001552,11.3,3.9,6.5
9Q0FCoNxL8I_001666,6.9,2.2,6.9
9Q0FCoNxL8I_001963,11.2,2.7,9.5
9Q0FCoNxL8I_002217,12.6,6.1,7.9
9Q0FCoNxL8I_002344,15.9,3.9,11.9
9Q0FCoNxL8I_002504,18.2,2.9,15.3
9Q0FCoNxL8I_002980,10.9,4.2,8.1
9Q0FCoNxL8I_003090,12.7,5.1,9.9
9Q0FCoNxL8I_003976,11.9,4.2,7.3
9Q0FCoNxL8I_004360,11.4,2.0,8.5
9Q0FCoNxL8I_004475,11.9,3.3,9.0
9Q0FCoNxL8I_004595,10.9,4.7,8.0
9Q0FCoNxL8I_004971,7.0,4.6,6.4
CyeT8rEQOpQ_000546,5.8,4.1,5.8
CyeT8rEQOpQ_000660,10.1,2.7,8.9
CyeT8rEQOpQ_000762,8.9,1.0,5.3
CyeT8rEQOpQ_001010,9.5,2.6,9.4
CyeT8rEQOpQ_001230,8.5,3.2,5.4
CyeT8rEQOpQ_001316,9.0,3.0,5.1
CyeT8rEQOpQ_001523,8.2,1.7,4.4
CyeT8rEQOpQ_001606,11.1,2.5,6.2
CyeT8rEQOpQ_001932,7.2,3.6,5.3
CyeT8rEQOpQ_002093,9.6,4.2,6.7
CyeT8rEQOpQ_002416,8.8,3.9,6.2
CyeT8rEQOpQ_003190,9.4,5.4,7.0
CyeT8rEQOpQ_003285,13.8,8.3,12.0
CyeT8rEQOpQ_003623,7.1,3.5,7.1
CyeT8rEQOpQ_003695,9.8,4.1,6.2
CyeT8rEQOpQ_004187,5.4,2.5,4.6
CyeT8rEQOpQ_004242,6.1,1.1,2.9
CyeT8rEQOpQ_004725,8.6,1.6,5.1
CyeT8rEQOpQ_004911,5.9,3.7,5.9
CyeT8rEQOpQ_005131,6.4,2.3,4.4
CyeT8rEQOpQ_005280,7.8,4.4,7.3
CyeT8rEQOpQ_005359,11.3,2.7,5.3
CyeT8rEQOpQ_005473,7.5,3.6,5.5
CyeT8rEQOpQ_005549,5.9,3.6,5.8
DSBGS6aRzgc_000073,10.7,3.9,10.7
DSBGS6aRzgc_000181,10.9,4.2,7.6
DSBGS6aRzgc_000291,7.9,4.4,5.7
DSBGS6aRzgc_000371,9.9,4.8,7.8
DSBGS6aRzgc_000471,6.2,5.4,6.2
DSBGS6aRzgc_000661,8.7,7.8,8.7
DSBGS6aRzgc_000771,5.2,4.5,5.2
DSBGS6aRzgc_000951,13.9,4.6,10.6
DSBGS6aRzgc_001091,10.8,4.3,9.9
DSBGS6aRzgc_001205,9.6,2.9,9.6
DSBGS6aRzgc_001302,11.5,3.7,9.3
DSBGS6aRzgc_001569,14.9,7.2,14.3
DSBGS6aRzgc_001719,12.2,4.1,12.2
DSBGS6aRzgc_001842,13.1,2.6,7.9
DSBGS6aRzgc_001974,9.9,1.7,5.5
DSBGS6aRzgc_002074,9.7,4.1,8.7
DSBGS6aRzgc_002272,12.4,7.7,9.1
DSBGS6aRzgc_002550,10.0,2.5,8.0
DSBGS6aRzgc_002651,4.1,1.1,2.9
DSBGS6aRzgc_002693,9.9,2.9,7.8
DSBGS6aRzgc_002974,11.9,4.9,11.9
DSBGS6aRzgc_003585,12.4,3.7,9.7
DSBGS6aRzgc_003880,9.5,5.1,6.7
DSBGS6aRzgc_004516,15.1,2.9,7.6
DSBGS6aRzgc_004668,10.9,6.7,8.7
DSBGS6aRzgc_005653,9.9,3.8,8.5
DSBGS6aRzgc_005753,10.7,2.5,8.2
D_pyFV4nKd4_000073,13.7,7.9,13.2
D_pyFV4nKd4_000436,11.9,4.4,9.7
D_pyFV4nKd4_000666,10.9,5.7,8.4
D_pyFV4nKd4_001068,9.5,3.8,9.5
D_pyFV4nKd4_001164,10.0,1.8,10.0
D_pyFV4nKd4_001265,5.8,5.3,5.8
D_pyFV4nKd4_001355,9.9,1.5,7.3
D_pyFV4nKd4_001455,9.9,4.7,7.5
D_pyFV4nKd4_001665,7.3,4.4,7.3
D_pyFV4nKd4_002196,14.9,6.2,7.8
D_pyFV4nKd4_002733,14.0,3.8,9.9
D_pyFV4nKd4_002974,12.8,3.8,11.5
D_pyFV4nKd4_003103,12.9,4.0,9.0
D_pyFV4nKd4_003233,9.9,4.7,8.1
D_pyFV4nKd4_003333,7.9,1.3,4.5
D_pyFV4nKd4_003413,7.8,3.0,4.5
D_pyFV4nKd4_003804,8.9,4.5,8.1
D_pyFV4nKd4_003894,9.8,5.0,9.8
D_pyFV4nKd4_003993,11.9,4.1,11.9
D_pyFV4nKd4_004283,6.6,4.8,6.6
D_pyFV4nKd4_004430,9.9,5.8,7.6
D_pyFV4nKd4_004530,9.9,5.8,8.1
D_pyFV4nKd4_004710,8.9,3.6,7.5
D_pyFV4nKd4_004800,9.4,4.8,6.9
D_pyFV4nKd4_005767,11.1,1.3,10.0
